,training_loss,validation_loss,training_acc,validation_acc
0,1.2331777811050415,1.2457687854766846,0.32042011618614197,0.30444613099098206
1,1.1903691291809082,1.2116508483886719,0.3612259030342102,0.32554635405540466
2,1.150856375694275,1.1801608800888062,0.39084023237228394,0.34890732169151306
3,1.1143221855163574,1.1515376567840576,0.41460055112838745,0.38131123781204224
4,1.0812160968780518,1.1253095865249634,0.43836086988449097,0.39336851239204407
5,1.0505698919296265,1.1016122102737427,0.4595385789871216,0.41070082783699036
6,1.0227545499801636,1.0799546241760254,0.47451791167259216,0.42125093936920166
7,0.9971327781677246,1.060245156288147,0.49087464809417725,0.43180105090141296
8,0.9737798571586609,1.0419790744781494,0.5039600729942322,0.44084399938583374
9,0.9521874189376831,1.025017261505127,0.518767237663269,0.4544084370136261
10,0.9319931268692017,1.0092506408691406,0.535468339920044,0.46194422245025635
11,0.9134521484375,0.994647204875946,0.5476928353309631,0.4709872007369995
12,0.8959057331085205,0.9807778596878052,0.5583677887916565,0.479276567697525
13,0.8795117139816284,0.9675545692443848,0.5695592164993286,0.49359458684921265
14,0.8641449809074402,0.9550240635871887,0.5823002457618713,0.5033910870552063
15,0.8495734930038452,0.9431558847427368,0.5952134728431702,0.5109269022941589
16,0.8357563018798828,0.9321231245994568,0.606232762336731,0.5146948099136353
17,0.822605550289154,0.9215294718742371,0.617596447467804,0.5177091360092163
18,0.8101333975791931,0.9112173318862915,0.62861567735672,0.5259984731674194
19,0.7983275651931763,0.9013849496841431,0.6379132270812988,0.5365486145019531
20,0.786858856678009,0.8920705914497375,0.6468663811683655,0.5455915331840515
21,0.7760933041572571,0.8830563426017761,0.6537534594535828,0.5501130223274231
22,0.7656938433647156,0.8745431900024414,0.6611570119857788,0.5546345114707947
23,0.755791187286377,0.8659495711326599,0.6699380278587341,0.5599095821380615
24,0.7462074160575867,0.8578202128410339,0.6787189841270447,0.5689525008201599
25,0.7370738387107849,0.850136935710907,0.6861225962638855,0.5742275714874268
26,0.728373110294342,0.8427695631980896,0.6952479481697083,0.5810098052024841
27,0.7198792099952698,0.8359331488609314,0.7028236985206604,0.5840241312980652
28,0.7117746472358704,0.8291066884994507,0.7095385789871216,0.5892991423606873
29,0.703941822052002,0.8224564790725708,0.7143595218658447,0.5968349575996399
30,0.6964074373245239,0.8162745833396912,0.7209022045135498,0.5990957021713257
31,0.6891714930534363,0.8102502822875977,0.7288222908973694,0.5990957021713257
32,0.6821479201316833,0.8044903874397278,0.7348484992980957,0.6043707728385925
33,0.6754128336906433,0.7988503575325012,0.7384641766548157,0.6066315174102783
34,0.6688597798347473,0.7934483885765076,0.7436294555664062,0.6081386804580688
35,0.6625409126281738,0.7880668044090271,0.7479338645935059,0.6134136915206909
36,0.6564404964447021,0.7829886674880981,0.7498278021812439,0.6186887621879578
37,0.6505492329597473,0.7777962684631348,0.7541322112083435,0.6254709959030151
38,0.6448094248771667,0.7730143666267395,0.7584366202354431,0.630746066570282
39,0.6392796635627747,0.7685123085975647,0.7610192894935608,0.6382818222045898
40,0.6339517831802368,0.7638588547706604,0.7656680345535278,0.6405425667762756
41,0.6287184953689575,0.7593029141426086,0.7672176361083984,0.644310474395752
42,0.6236741542816162,0.7549960017204285,0.7698002457618713,0.647324800491333
43,0.6188169717788696,0.7508614659309387,0.7720385789871216,0.6495855450630188
